,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Boat of Garten,29,GB,1563658668,77,57.25,-3.76,60.8,11.41
1,Jamestown,2,AU,1563658547,97,-33.21,138.6,44.98,7.0
2,Santa Ana,41,MX,1563658654,32,30.54,-111.12,100.99,1.01
3,Itarema,80,BR,1563658672,78,-2.92,-39.92,76.66,10.02
4,Castro,90,CL,1563658458,100,-42.48,-73.76,41.0,6.93
5,Yellowknife,75,CA,1563658674,49,62.45,-114.38,69.8,9.17
6,Bluff,20,AU,1563658648,83,-23.58,149.07,54.34,9.57
7,Constitucion,75,MX,1563658664,31,23.99,-104.67,80.01,4.7
8,Rikitea,65,PF,1563658556,47,-23.12,-134.97,67.12,6.85
9,Mataura,82,NZ,1563658454,98,-46.19,168.86,46.99,2.19
10,Punta Arenas,75,CL,1563658590,74,-53.16,-70.91,37.4,12.75
11,Sinnamary,94,GF,1563658681,76,5.38,-52.96,82.24,15.21
12,Upernavik,100,GL,1563658682,93,72.79,-56.15,43.54,12.35
13,Busselton,100,AU,1563658661,63,-33.64,115.35,57.99,27.63
14,Doha,0,QA,1563658392,84,25.29,51.53,89.6,5.82
15,Port Hardy,40,CA,1563658606,87,50.7,-127.42,57.2,5.82
16,Alice Springs,40,AU,1563658686,24,-23.7,133.88,57.2,8.05
17,Avarua,7,CK,1563658363,64,-21.21,-159.78,73.4,11.41
18,Vaini,100,IN,1563658455,91,15.34,74.49,77.56,7.2
19,Qaanaaq,97,GL,1563658690,81,77.48,-69.36,41.92,2.51
20,Pontianak,31,ID,1563658691,79,-0.02,109.34,81.7,9.53
21,Hobart,40,AU,1563658605,62,-42.88,147.33,51.8,12.75
22,New Norfolk,40,AU,1563658618,62,-42.78,147.06,51.8,12.75
23,Kintampo,100,GH,1563658694,92,8.05,-1.73,73.06,7.65
24,Kapaa,90,US,1563658559,66,22.08,-159.32,86.0,12.75
25,Hithadhoo,91,MV,1563658672,78,-0.6,73.08,82.78,13.76
26,Gat,55,SN,1563658698,62,14.69,-16.54,87.8,4.7
27,Monrovia,75,LR,1563658699,94,6.33,-10.8,77.0,9.22
28,Acapulco,75,MX,1563658700,66,16.86,-99.88,87.8,11.41
29,Victoria,75,BN,1563658588,94,5.28,115.24,82.0,8.57
30,Cherskiy,98,RU,1563658702,62,68.75,161.3,44.98,7.11
31,Biltine,100,TD,1563658704,45,14.53,20.93,88.72,17.81
32,Mehamn,0,NO,1563658705,77,71.03,27.85,53.44,2.71
33,Codrington,90,AU,1563658697,93,-28.95,153.24,55.99,6.93
34,Ponta do Sol,61,BR,1563658598,64,-20.63,-46.0,60.28,5.23
35,Namibe,96,AO,1563658708,87,-15.19,12.15,69.46,5.06
36,Bambous Virieux,75,MU,1563658626,88,-20.34,57.76,71.01,3.36
37,Port Elizabeth,1,US,1563658710,53,39.31,-74.98,99.0,9.17
38,Atuona,0,PF,1563658462,78,-9.8,-139.03,79.72,12.15
39,Airai,0,TL,1563658713,63,-8.93,125.41,65.68,3.87
40,Vardo,1,US,1563658714,56,39.62,-77.74,98.6,9.17
41,Salumbar,2,IN,1563658715,53,24.14,74.05,89.8,3.8
42,Barrow,100,AR,1563658650,84,-38.31,-60.23,57.22,12.26
43,Clyde River,90,CA,1563658717,100,70.47,-68.59,39.2,10.29
44,Hilo,40,US,1563658209,58,19.71,-155.08,84.2,12.75
45,Ushuaia,0,AR,1563658454,64,-54.81,-68.31,35.6,11.41
46,Garowe,100,SO,1563658606,48,8.41,48.48,82.06,24.36
47,Mogadishu,41,SO,1563658705,82,2.04,45.34,75.04,12.06
48,Capitan Bado,52,PY,1563658723,63,-23.27,-55.53,75.04,4.7
49,Port Hedland,14,AU,1563658724,58,-20.31,118.58,59.0,8.05
50,Ayagoz,0,KZ,1563658725,74,47.96,80.43,61.72,10.07
51,Cayenne,0,GF,1563658726,78,4.94,-52.33,82.4,4.7
52,Saint Anthony,1,US,1563658728,21,43.97,-111.68,80.6,9.17
53,Husavik,31,CA,1563658729,76,50.56,-96.99,72.0,5.01
54,Kavieng,100,PG,1563658552,75,-2.57,150.8,83.86,17.31
55,Lagoa,0,PT,1563658731,42,37.14,-8.45,86.0,13.87
56,Bella Union,0,CO,1563658732,49,8.5,-73.35,85.48,3.67
57,Cabo San Lucas,40,MX,1563658609,54,22.89,-109.91,87.01,18.34
58,Aripuana,89,BR,1563658549,42,-9.17,-60.63,89.44,1.59
59,Valentin Gomez Farias,75,MX,1563658736,31,24.05,-104.7,80.01,4.7
60,Hamilton,75,CA,1563658737,59,43.26,-79.87,95.0,9.17
61,Bongandanga,88,CD,1563658738,94,1.51,21.07,71.08,1.81
62,Srandakan,100,ID,1563658739,88,-7.94,110.25,75.76,13.51
63,Pacific Grove,1,US,1563658741,52,36.62,-121.92,84.99,13.87
64,Nabire,100,ID,1563658742,99,-3.36,135.5,69.1,3.22
65,Garissa,0,KE,1563658743,68,-0.46,39.64,73.6,15.84
66,Pacifica,90,US,1563658744,77,37.61,-122.49,75.99,8.05
67,Xichang,100,CN,1563658746,98,27.88,102.25,58.66,1.88
68,Petropavlovsk-Kamchatskiy,40,RU,1563658747,72,53.05,158.65,66.2,6.71
69,Henties Bay,0,NA,1563658748,87,-22.12,14.28,55.99,8.25
70,Ambulu,97,ID,1563658749,89,-8.35,113.61,74.68,6.33
71,Tuktoyaktuk,75,CA,1563658462,72,69.44,-133.03,62.6,10.29
72,East London,7,ZA,1563658682,85,-33.02,27.91,43.18,8.1
73,Strezhevoy,75,RU,1563658753,60,60.73,77.6,68.0,8.95
74,Mahebourg,75,MU,1563658754,88,-20.41,57.7,71.01,3.36
75,Sergeyevka,16,KZ,1563658755,70,53.88,67.42,67.84,5.14
76,Vila Velha,75,BR,1563658756,74,-3.71,-38.6,86.0,12.75
77,Margate,40,AU,1563658757,62,-43.03,147.26,51.8,12.75
78,Champerico,40,MX,1563658759,49,16.38,-93.6,89.6,5.82
79,Thinadhoo,98,MV,1563658460,76,0.53,72.93,83.14,12.71
80,Jhanjharpur,0,IN,1563658761,82,26.21,86.23,82.06,7.85
81,Hibbing,20,US,1563658496,39,47.43,-92.94,79.0,10.29
82,Alice Town,31,BS,1563658763,71,25.72,-79.3,84.58,10.92
83,Cheremisinovo,1,RU,1563658764,88,51.89,37.26,59.92,6.91
84,Ancud,90,CL,1563658748,100,-41.87,-73.83,41.0,6.93
85,Hailar,28,CN,1563658767,97,49.2,119.7,59.92,10.22
86,Kaitangata,100,NZ,1563658653,91,-46.28,169.85,50.0,10.0
87,Christchurch,97,NZ,1563658769,100,-43.53,172.64,52.0,20.8
88,Esperance,90,AU,1563658737,87,-33.86,121.89,53.6,14.99
89,Umm Lajj,0,SA,1563658771,72,25.02,37.27,86.56,6.89
90,Iqaluit,90,CA,1563658772,87,63.75,-68.52,42.8,17.22
91,Lebu,40,ET,1563658459,87,8.96,38.73,55.4,4.7
92,Nikolskoye,100,RU,1563658551,82,59.7,30.79,63.0,2.24
93,Wonthaggi,34,AU,1563658776,57,-38.6,145.59,57.99,14.0
94,Butaritari,33,KI,1563658558,68,3.07,172.79,84.4,5.99
95,Agadez,100,NE,1563658778,32,16.97,7.99,90.16,15.12
96,Urrao,40,CO,1563658779,37,6.32,-76.13,84.2,11.41
97,Salima,15,MW,1563658780,64,-13.78,34.45,57.94,3.67
98,Jiazi,40,CN,1563658782,100,19.61,110.49,78.8,2.24
99,Dikson,67,RU,1563658783,99,73.51,80.55,44.62,17.52
100,Tiksi,5,RU,1563658400,75,71.64,128.87,44.26,10.18
101,Duminichi,0,RU,1563658788,85,53.93,35.11,54.52,5.84
102,Noumea,90,NC,1563658789,77,-22.28,166.46,62.6,2.24
103,Saint George,0,GR,1563658340,49,39.45,22.34,73.4,2.21
104,Esqueda,25,MX,1563658792,23,30.72,-109.59,87.64,4.9
105,Samarai,96,PG,1563658793,90,-10.62,150.67,70.72,2.13
106,Severo-Kurilsk,33,RU,1563658739,96,50.68,156.12,45.52,12.12
107,Celestun,0,MX,1563658795,81,20.87,-90.4,82.42,16.4
108,Pisco,0,PE,1563658749,30,-13.71,-76.2,71.6,9.17
109,Salto,0,BR,1563658796,40,-23.2,-47.29,71.01,5.82
110,Saint-Philippe,1,CA,1563658581,62,45.36,-73.48,91.0,11.41
111,Thompson,40,CA,1563658582,34,55.74,-97.86,68.0,10.29
112,Sur,4,OM,1563658800,81,22.57,59.53,76.66,14.03
113,Grand Gaube,75,MU,1563658802,88,-20.01,57.66,71.01,3.36
114,Alta Floresta,0,BR,1563658803,35,-9.87,-56.08,87.8,5.82
115,Chuy,4,UY,1563658554,91,-33.69,-53.46,61.0,6.62
116,Ingham,2,AU,1563658805,97,-18.65,146.16,53.44,2.19
117,Roebourne,45,AU,1563658807,35,-20.77,117.15,62.8,14.92
118,Cape Town,0,ZA,1563658447,81,-33.93,18.42,50.0,5.82
119,Sitka,0,US,1563658809,29,37.17,-99.65,102.99,21.0
120,Pangnirtung,79,CA,1563658560,59,66.15,-65.72,57.04,6.58
121,Porosozero,67,RU,1563658811,90,62.72,32.71,50.2,3.04
122,Freeport,75,BS,1563658812,62,26.54,-78.7,89.6,10.29
123,Kaeo,86,NZ,1563658814,96,-35.1,173.78,48.99,1.99
124,Kabanjahe,100,ID,1563658815,98,3.1,98.49,69.64,1.32
125,Leningradskiy,100,RU,1563658756,88,69.38,178.42,36.52,10.13
126,Kamaishi,93,JP,1563658817,98,39.28,141.86,63.88,2.42
127,Arman,95,RU,1563658818,85,59.7,150.17,49.3,5.79
128,Portland,1,US,1563658274,58,43.66,-70.25,93.99,10.29
129,Quatre Cocos,75,MU,1563658820,88,-20.21,57.76,71.01,3.36
130,Tasiilaq,40,GL,1563658454,75,65.61,-37.64,46.4,3.36
131,Cairns,40,AU,1563658573,72,-16.92,145.77,66.2,11.41
132,Schenectady,40,US,1563658824,84,42.81,-73.94,95.0,4.7
133,Klaksvik,100,FO,1563658559,100,62.23,-6.59,51.8,9.17
134,Karasjok,12,NO,1563658826,67,69.47,25.52,59.0,12.75
135,Puerto Leguizamo,83,CO,1563658827,96,-0.19,-74.78,72.88,4.03
136,Toora-Khem,39,RU,1563658829,96,52.47,96.11,46.78,2.1
137,Casa Nova,0,BR,1563658830,44,-16.03,-44.16,67.84,4.65
138,Albany,40,US,1563658594,55,42.65,-73.75,95.0,8.05
139,Chimore,100,BO,1563658832,79,-16.98,-65.13,73.6,3.78
140,Rio Grande,0,BR,1563658780,88,-32.03,-52.1,64.99,4.7
141,Mar del Plata,26,AR,1563658554,48,-46.43,-67.52,41.38,9.35
142,Bredasdorp,79,ZA,1563658604,86,-34.53,20.04,46.0,9.17
143,Haimen,4,CN,1563658837,87,31.87,121.18,84.0,4.79
144,Bangkalan,100,ID,1563658838,82,-7.05,112.74,75.22,4.12
145,Miri,0,NG,1563658839,74,10.31,9.75,71.98,3.65
146,Caravelas,37,BR,1563658840,76,-17.73,-39.27,71.62,13.58
147,Mount Gambier,40,AU,1563658842,87,-37.83,140.78,48.2,6.93
148,Georgetown,40,GY,1563658399,78,6.8,-58.16,82.4,9.17
149,Belaya Gora,67,RU,1563658765,60,68.54,146.19,51.64,18.99
150,Carnarvon,27,ZA,1563658459,61,-30.97,22.13,36.16,12.73
151,Iberia,78,PE,1563658846,42,-11.41,-69.49,88.72,2.33
152,Atar,97,MR,1563658847,21,20.52,-13.05,98.8,3.91
153,Kodiak,1,US,1563658670,53,39.95,-94.76,98.01,11.41
154,Meulaboh,100,ID,1563658559,79,4.14,96.13,79.72,3.06
155,Luderitz,0,NA,1563658781,72,-26.65,15.16,57.22,11.92
156,Torbay,75,CA,1563658852,81,47.66,-52.73,55.0,12.75
157,Port Lincoln,0,AU,1563658680,67,-34.72,135.86,57.04,24.07
158,Shakawe,0,BW,1563658855,17,-18.36,21.84,54.88,4.09
159,Hokitika,100,NZ,1563658794,71,-42.72,170.96,50.02,4.61
160,Mount Isa,33,AU,1563658796,59,-20.73,139.49,35.6,7.2
161,Superior,90,US,1563658858,53,39.95,-105.17,82.4,11.41
162,Pagudpud,75,PH,1563658859,94,18.56,120.79,78.8,3.36
163,Teguise,40,ES,1563658860,73,29.06,-13.56,73.4,14.99
164,San Juan de Abajo,90,MX,1563658862,66,20.82,-105.19,86.0,6.93
165,Isangel,0,VU,1563658805,72,-19.55,169.27,70.54,22.53
166,San Ramon,75,NI,1563658864,69,12.92,-85.84,77.0,9.17
167,Hermanus,100,ZA,1563658455,83,-34.42,19.24,46.0,7.0
168,Jalu,0,LY,1563658866,39,29.03,21.55,82.78,20.2
169,Bagdarin,100,RU,1563658867,96,54.44,113.59,51.28,3.78
170,Harrisonburg,1,US,1563658686,52,38.45,-78.87,98.6,10.29
171,Saskylakh,11,RU,1563658587,56,71.97,114.09,61.54,6.26
172,Sao Jose da Coroa Grande,68,BR,1563658871,94,-8.9,-35.15,70.36,6.49
173,Kailua,90,US,1563658826,88,21.39,-157.74,87.8,12.75
174,Vytegra,96,RU,1563658873,84,61.01,36.45,61.18,10.83
175,Xining,100,CN,1563658874,86,36.62,101.77,50.92,3.4
176,Sulangan,96,PH,1563658875,77,11.14,123.72,82.24,3.4
177,Kainantu,81,PG,1563658877,97,-6.29,145.87,56.86,1.57
178,Musoma,40,TZ,1563658878,78,-1.5,33.81,71.6,7.43
179,Ribeira Grande,40,PT,1563658560,83,38.52,-28.7,75.2,8.05
180,Taitung,100,TW,1563658880,94,22.76,121.15,62.44,5.19
181,Canavieiras,53,BR,1563658828,84,-15.68,-38.95,69.82,6.89
182,Ajdabiya,0,LY,1563658882,70,30.75,20.22,77.2,20.49
183,Whithorn,40,JM,1563658883,59,18.26,-78.04,89.6,19.46
184,Aanekoski,0,FI,1563658885,76,62.6,25.73,59.0,2.24
185,Plettenberg Bay,11,ZA,1563658886,80,-34.05,23.37,43.0,5.17
186,Fare,9,PF,1563658887,77,-16.7,-151.02,76.12,16.02
187,Paamiut,0,GL,1563658888,93,61.99,-49.67,42.64,15.68
188,Vostok,79,RU,1563658890,86,46.45,135.83,68.56,3.42
189,Buncrana,40,GB,1563658891,87,55.14,-7.45,59.0,3.36
190,Zyryanka,100,RU,1563658813,52,65.73,150.89,51.82,8.75
191,Balabac,99,PH,1563658893,83,7.99,117.06,80.8,7.34
192,Batagay-Alyta,93,RU,1563658894,46,67.8,130.41,53.62,5.08
193,Kamenka,34,MD,1563658646,81,48.03,28.7,64.0,1.5
194,Richards Bay,100,ZA,1563658897,71,-28.77,32.06,62.26,40.2
195,Lebedyan,0,RU,1563658898,77,53.01,39.13,59.0,8.95
196,Puerto Ayora,20,EC,1563658565,54,-0.74,-90.35,82.4,18.34
197,Faya,20,SA,1563658817,19,18.39,42.45,77.0,3.36
198,Adrar,72,DZ,1563658901,12,27.87,-0.29,104.0,20.8
199,Itu,0,BR,1563658902,40,-23.26,-47.3,70.0,5.82
200,Bandarbeyla,100,SO,1563658896,65,9.49,50.81,77.2,28.03
201,Nyurba,0,RU,1563658905,72,63.29,118.35,52.18,2.33
202,Praya,75,ID,1563658906,94,-8.71,116.27,71.6,1.12
203,Dingle,36,PH,1563658814,89,11.0,122.67,74.5,2.1
204,Pochutla,20,MX,1563658908,55,15.74,-96.47,91.0,11.41
205,Geraldton,75,CA,1563658565,56,49.72,-86.95,69.8,4.7
206,Hanstholm,91,DK,1563658910,21,57.12,8.61,63.0,14.9
207,Orcopampa,74,PE,1563658912,50,-15.27,-72.34,40.48,8.59
208,Chute-aux-Outardes,90,CA,1563658913,72,49.12,-68.38,78.8,12.75
209,Tashla,0,RU,1563658914,72,53.71,49.75,62.6,2.24
210,Pevek,91,RU,1563658915,94,69.7,170.27,32.38,4.05
211,Sola,100,TZ,1563658665,47,-3.17,33.8,74.32,3.96
212,Charters Towers,0,AU,1563658918,92,-20.07,146.27,50.02,2.93
213,Salalah,75,OM,1563658666,88,17.01,54.1,80.6,4.7
214,Okhotsk,0,RU,1563658920,55,59.36,143.24,56.68,20.51
215,Novikovo,0,RU,1563658921,86,51.15,37.89,60.82,7.2
216,Hami,100,CN,1563658922,39,42.84,93.51,77.38,5.64
217,Talnakh,0,RU,1563658853,58,69.49,88.39,57.2,8.95
218,Port Alfred,31,ZA,1563658599,86,-33.59,26.89,46.99,5.01
219,Arraial do Cabo,40,BR,1563658704,77,-22.97,-42.02,68.0,16.11
220,Bethel,90,US,1563658612,87,60.79,-161.76,53.6,10.29
221,San Luis,100,AR,1563658928,62,-33.3,-66.34,64.78,19.26
222,Raver,94,IN,1563658929,68,21.25,76.04,82.42,1.39
223,Lagos,40,NG,1563658930,94,6.46,3.39,77.0,5.82
224,Hasaki,75,JP,1563658763,100,35.73,140.83,73.4,5.82
225,Lata,1,IN,1563658933,90,30.78,78.62,41.2,1.1
226,Bo Phloi,100,TH,1563658934,77,14.32,99.52,78.46,3.4
227,La Ronge,40,CA,1563658935,49,55.1,-105.3,68.0,8.05
228,Raudeberg,100,NO,1563658937,93,61.99,5.14,59.0,10.29
229,Pachora,100,IN,1563658938,81,20.66,75.35,79.9,7.11
230,Stokmarknes,4,NO,1563658939,81,68.56,14.91,61.0,5.41
231,Sabang,100,PH,1563658940,91,13.8,121.11,80.01,1.01
232,Nueve de Julio,4,AR,1563658702,26,-31.67,-68.39,66.04,8.86
233,Marzuq,39,YE,1563658942,21,14.4,46.47,78.82,5.61
234,Avera,1,US,1563658783,52,33.19,-82.53,95.0,8.05
235,Hurricane,1,US,1563658945,9,37.18,-113.29,100.99,8.05
236,Los Llanos de Aridane,90,ES,1563658460,83,28.66,-17.92,73.4,17.22
237,Basak,75,PH,1563658947,78,10.29,123.96,82.4,1.12
238,Khatanga,0,RU,1563658712,58,71.98,102.47,65.68,9.42
239,Snezhnogorsk,0,RU,1563658949,93,69.19,33.23,51.8,2.24
240,Monroe,40,US,1563658931,52,41.91,-83.4,96.8,8.05
241,Tommot,0,RU,1563658951,71,58.97,126.27,46.6,6.76
242,Eydhafushi,100,MV,1563658953,78,5.1,73.07,82.78,18.86
243,Vaitape,12,PF,1563658954,73,-16.52,-151.75,77.38,13.15
244,Fortuna,20,US,1563658614,68,40.6,-124.16,64.99,16.11
245,Xuddur,20,SO,1563658956,66,4.12,43.89,74.68,15.82
246,Marystown,0,CA,1563658957,65,47.17,-55.16,63.52,7.11
247,Kanniyakumari,100,IN,1563658959,84,8.08,77.57,80.08,27.83
248,Coihaique,20,CL,1563658707,98,-45.58,-72.07,35.6,1.86
249,Mweka,2,CD,1563658961,33,-4.85,21.56,68.92,0.87
250,Benito Juarez,75,CU,1563658962,83,22.29,-79.63,75.2,12.75
251,Seoul,90,KR,1563658839,100,37.57,126.98,75.2,9.04
252,Banikoara,67,BJ,1563658964,74,11.3,2.44,76.84,3.65
253,Umm Kaddadah,100,SD,1563658966,77,13.6,26.69,73.42,6.11
254,Vila do Maio,20,CV,1563658967,64,15.13,-23.22,75.2,13.87
255,Rodrigues Alves,75,BR,1563658968,83,-7.74,-72.65,80.6,2.24
256,Bulungu,95,CD,1563658969,36,-4.54,18.6,82.96,1.03
257,Sault Sainte Marie,90,CA,1563658970,83,46.49,-84.36,69.8,8.88
258,Bikaner,1,IN,1563658972,41,28.02,73.32,95.56,4.27
259,Jatai,72,IN,1563658973,55,28.97,76.18,90.88,6.93
260,Ahipara,33,NZ,1563658974,100,-35.17,173.16,48.0,11.79
261,Grindavik,40,IS,1563658843,67,63.84,-22.43,64.99,6.93
262,Victoria,75,BN,1563658976,94,5.28,115.24,80.6,8.57
